iter	Passed	Remaining
965	21979	773
966	22008	751
967	22029	728
968	22047	705
969	22067	682
970	22093	659
971	22117	637
972	22146	614
973	22171	591
974	22195	569
975	22210	546
976	22221	523
977	22252	500
978	22280	477
979	22295	455
980	22316	432
981	22341	409
982	22354	386
983	22376	363
984	22385	340
985	22404	318
986	22424	295
987	22444	272
988	22468	249
989	22521	227
990	22557	204
991	22573	182
992	22591	159
993	22607	136
994	22630	113
995	22659	91
996	22686	68
997	22711	45
998	22735	22
999	22751	0
